"x","y","wifi","4g"
-6.1858351419767565,-7.216737625021487,2.31,14.5
-6.1858351419767565,-7.216737625021485,4.69,15.4
-6.1858351419767565,-7.216737625021486,3.33,16.3
-6.1858351419767565,-7.216737625021486,1.20,18.8
-6.1858351419767565,-7.216737625021486,4.60,20.8
-6.1858351419767565,-7.216737625021486,1.32,21.0
-6.1858351419767565,-7.216737625021486,3.55,21.1
-6.1858351419767565,-7.216737625021485,1.59,21.1
-6.1858351419767565,-7.216737625021487,4.14,21.3
-6.1858351419767565,-7.216737625021487,3.09,22.0
-6.1858351419767565,-7.216737625021486,1.31,22.2
-6.1858351419767565,-7.216737625021486,4.82,22.2
-6.388004346128202,-7.207738711132307,1.39,22.3
-6.691737294816869,-7.023883126253016,2.23,22.6
-6.8680563124940495,-6.685927161250905,1.69,22.6
-8.277152671365833,-4.8682113374554365,1.89,22.9
-8.424958389098082,-4.649763650435661,2.69,23.1
-8.383205101405606,-4.5194370413089135,2.65,23.5
-8.384071065130188,-4.517610097014119,2.91,24.1
-8.384071065130188,-4.517610097014119,2.72,24.5
-8.367283313625366,-4.465433210231083,3.22,24.6
-8.253161465712253,-4.39440061147857,1.85,24.8
-7.909389758430013,-4.214984112411445,2.62,25.0
-7.798848863480764,-4.082326204015546,1.44,25.3
-7.790366843305938,-3.8166304338782933,1.42,25.5
-7.938480877364392,-3.4519975964747607,3.77,25.5
-8.149682783385439,-3.136416844775253,5.00,25.8
-8.39882595280724,-2.8339540283828786,1.24,25.9
-8.627182940780509,-2.5320943773385505,4.87,25.9
-8.788399309424811,-2.20119870374584,2.69,26.0
-8.767469835024038,-1.8253766256817432,4.89,26.1
-8.784209080708202,-1.428136282667655,33.0,26.1
-8.868744710864334,-1.0669838240895126,6.04,26.1
-9.089731645847607,-0.800085516597516,2.85,26.2
-9.508235228241361,-0.8857070310405541,5.39,26.3
-9.631796241818323,-1.273659651068897,3.03,26.3
-9.619641775127388,-1.7068756763704416,7.13,26.4
-9.615733198157361,-2.106339325833579,5.51,26.4
-9.633498845739005,-2.5047302121388553,3.11,26.5
-9.706662772968816,-2.8931497037248137,8.84,26.7
-9.910386062884387,-3.245968959554121,4.56,26.7
-10.174333469358055,-3.511894719023596,4.82,26.7
-10.530274342888548,-3.6888195359467506,2.68,26.8
-10.904185724792375,-3.856514252851456,2.70,26.8
-11.2638277294308,-3.9830185283464896,5.24,26.9
-11.64471285842668,-4.121348024707929,5.91,27.1
-12.001921731267847,-4.212882053252573,3.10,27.2
-12.36462793437547,-4.180487735491619,2.95,27.3
-12.449744339286655,-4.065468556965023,2.50,27.4
-12.30880275806477,-3.711846879224262,3.14,27.4
-12.087836520049631,-3.4890112499070343,2.94,27.5
-12.042133570905344,-3.350820293333106,1.68,27.5
-12.015298969725727,-3.5503625416079307,3.32,27.6
-11.97030631950915,-3.520980134515286,3.61,27.6
-11.63800413490898,-3.414745620769616,4.67,27.7
-11.261373645312075,-3.328277441122875,11.1,27.9
-10.888294545744944,-3.251597965986634,2.60,27.9
-10.520487721936403,-3.1593396461351615,11.3,28.0
-10.164714863215547,-3.0333222486554874,3.09,28.1
-9.83489606137027,-2.85696863796652,3.24,28.1
-9.68601395206342,-2.5393218531616615,1.54,28.1
-9.783432340145328,-2.1841533841782628,3.14,28.1
-9.926166012863364,-1.820292506015547,2.98,28.2
-10.214237503649425,-1.5496979942320843,4.17,28.2
-10.543622530530167,-1.281892515589564,3.85,28.3
-10.878583244768675,-1.0702925590502348,21.7,28.4
-11.166473961017283,-0.8434223504794423,89.7,28.4
-11.506856645127575,-0.6809519183551567,3.28,28.5
-11.899600187607625,-0.6112365416347822,2.31,28.7
-12.287377164081953,-0.623658183507307,14.8,28.7
-12.684116018307861,-0.6780345178559637,25.0,28.8
-13.028550080924987,-0.49478600662010486,4.95,28.8
-13.087838020980456,-0.38895084349822806,3.12,29.0
-11.908472332568651,0.13857574465025735,1.69,29.1
-11.908472332568651,0.13857574465025735,1.86,29.1
-11.697264413531036,0.18541958034033001,1.58,29.2
-11.33079958772545,0.29254601634953215,2.97,29.2
-10.969905342139528,0.46578938874032616,1.48,29.2
-10.75257845352233,0.7538575312980056,6.04,29.2
-10.701889083648727,1.1281981896477733,1.43,29.2
-10.770190504080336,1.4921740615246586,8.29,29.2
-11.058591052817418,1.7844800998751484,3.51,29.2
-11.387238777189117,1.926694793039922,3.90,29.3
-11.832514799012886,1.8025623510040374,2.13,29.3
-12.156140944149707,1.720577399058663,4.08,29.3
-12.485206142140813,1.6607065772401128,148,29.4
-12.844560279483213,1.5054296494933794,3.93,29.5
-13.230778077388305,1.4660375245852473,9.32,29.5
-13.561674060056358,1.3014669835428867,35.1,29.5
-13.91798899153123,1.09535710267064,68.6,29.5
-14.26997076030587,0.894977101003013,57.8,29.5
-14.166934312703459,0.9558820885422561,1.42,29.6
-13.927381797290206,1.052192195052795,1.37,29.6
-13.653156506795579,1.1701897219207327,1.41,29.6
-13.386952102043598,1.253465741588025,3.66,29.6
-13.159463691050629,1.4132559313542385,1.46,29.7
-12.922760540780889,1.53600694563261,1.26,29.7
