(-6.1858351419767565, -7.216737625021487, -168.97214622524604)	2.31	42.1
(-6.1858351419767565, -7.216737625021485, -168.97214622524604)	4.69	31.2
(-6.1858351419767565, -7.216737625021486, -168.97214622524604)	3.33	35.2
(-6.1858351419767565, -7.216737625021486, -168.97214622524604)	1.20	35.7
(-6.1858351419767565, -7.216737625021486, -168.97214622524604)	4.60	40.6
(-6.1858351419767565, -7.216737625021486, -168.97214622524604)	1.32	36.1
(-6.1858351419767565, -7.216737625021486, -168.97214622524604)	3.55	39.4
(-6.1858351419767565, -7.216737625021485, -168.97214622524604)	1.59	22.0
(-6.1858351419767565, -7.216737625021487, -168.97214622524604)	4.14	26.7
(-6.1858351419767565, -7.216737625021487, -168.97214622524604)	3.09	36.3
(-6.1858351419767565, -7.216737625021486, -168.97214622524604)	1.31	33.7
(-6.1858351419767565, -7.216737625021486, -168.97214622524604)	4.82	44.1
(-6.388004346128202, -7.207738711132307, -179.5673391156235)	1.39	46.7
(-6.691737294816869, -7.023883126253016, 127.18591042478026)	2.23	33.5
(-6.8680563124940495, -6.685927161250905, 116.0721507669296)	1.69	22.2
(-6.971483313781603, -6.317046196663575, 98.27946788264185)		44.2
(-8.277152671365833, -4.8682113374554365, 152.59860103270577)	1.89	33.5
(-8.424958389098082, -4.649763650435661, 96.98535916603551)	2.69	32.8
(-8.383205101405606, -4.5194370413089135, 71.42229811412065)	2.65	130
(-8.384071065130188, -4.517610097014119, 71.19071104649004)	2.91	40.1
(-8.384071065130188, -4.517610097014119, 71.19071104649004)	2.72	34.4
(-8.367283313625366, -4.465433210231083, 64.6928755023919)	3.22	28.4
(-8.253161465712253, -4.39440061147857, 31.039315208102874)	1.85	48.0
(-7.909389758430013, -4.214984112411445, 40.94599132383482)	2.62	29.5
(-7.798848863480764, -4.082326204015546, 71.75151366192527)	1.44	38.8
(-7.790366843305938, -3.8166304338782933, 99.66560681900114)	1.42	30.9
(-7.938480877364392, -3.4519975964747607, 114.49375940384674)	3.77	31.7
(-8.149682783385439, -3.136416844775253, 132.49650847816292)	5.00	120
(-8.39882595280724, -2.8339540283828786, 131.30945871059416)	1.24	36.9
(-8.627182940780509, -2.5320943773385505, 131.08466718490575)	4.87	33.1
(-8.788399309424811, -2.20119870374584, 95.99092819580235)	2.69	26.3
(-8.767469835024038, -1.8253766256817432, 89.17445710390632)	4.89	29.8
(-8.784209080708202, -1.428136282667655, 103.23131874994746)	33.0	30.8
(-8.868744710864334, -1.0669838240895126, 108.49697463302863)	6.04	33.0
(-9.089731645847607, -0.800085516597516, 168.37405377061353)	2.85	31.7
(-9.508235228241361, -0.8857070310405541, -130.893267223108)	5.39	33.2
(-9.631796241818323, -1.273659651068897, -85.87776383288391)	3.03	32.5
(-9.619641775127388, -1.7068756763704416, -92.67438151350004)	7.13	30.0
(-9.615733198157361, -2.106339325833579, -91.99149334963445)	5.51	33.6
(-9.633498845739005, -2.5047302121388553, -97.26589156501753)	3.11	36.2
(-9.706662772968816, -2.8931497037248137, -111.09382194147732)	8.84	41.9
(-9.910386062884387, -3.245968959554121, -128.47538176187047)	4.56	33.2
(-10.174333469358055, -3.511894719023596, -147.72706050179073)	4.82	20.8
(-10.530274342888548, -3.6888195359467506, -151.05035150245303)	2.68	34.2
(-10.904185724792375, -3.856514252851456, -158.55380368076231)	2.70	37.4
(-11.2638277294308, -3.9830185283464896, -158.5997441038046)	5.24	39.4
(-11.64471285842668, -4.121348024707929, -158.83421446441676)	5.91	28.4
(-12.001921731267847, -4.212882053252573, -170.76271983106278)	3.10	38.0
(-12.36462793437547, -4.180487735491619, 135.46036065994622)	2.95	29.9
(-12.449744339286655, -4.065468556965023, 76.38801034004872)	2.50	26.2
(-12.30880275806477, -3.711846879224262, 53.49990163327489)	3.14	26.4
(-12.087836520049631, -3.4890112499070343, 61.10549575820345)	2.94	27.9
(-12.042133570905344, -3.350820293333106, 96.79113762003297)	1.68	36.9
(-12.015298969725727, -3.5503625416079307, 95.34758634037534)	3.32	33.6
(-11.97030631950915, -3.520980134515286, 41.82307135876966)	3.61	39.3
(-11.63800413490898, -3.414745620769616, 7.730366538643576)	4.67	30.5
(-11.261373645312075, -3.328277441122875, 14.518082723623525)	11.1	31.3
(-10.888294545744944, -3.251597965986634, 14.111843164148477)	2.60	45.0
(-10.520487721936403, -3.1593396461351615, 14.1693837276888)	11.3	33.2
(-10.164714863215547, -3.0333222486554874, 24.84349809729082)	3.09	37.7
(-9.83489606137027, -2.85696863796652, 41.4468309998592)	3.24	27.1
(-9.68601395206342, -2.5393218531616615, 100.73107032876989)	1.54	37.3
(-9.783432340145328, -2.1841533841782628, 122.45669585688464)	3.14	42.3
(-9.926166012863364, -1.820292506015547, 123.65072830201476)	2.98	35.7
(-10.214237503649425, -1.5496979942320843, 131.75282832794792)	4.17	32.3
(-10.543622530530167, -1.281892515589564, 145.99719098303711)	3.85	31.0
(-10.878583244768675, -1.0702925590502348, 146.54091478264687)	21.7	40.7
(-11.166473961017283, -0.8434223504794423, 155.67890536086878)	89.7	29.7
(-11.506856645127575, -0.6809519183551567, 166.72222842367006)	3.28	34.4
(-11.899600187607625, -0.6112365416347822, 173.99120342678245)	2.31	34.6
(-12.287377164081953, -0.623658183507307, -174.82793639725466)	14.8	32.9
(-12.684116018307861, -0.6780345178559637, 167.2803626477418)	25.0	40.3
(-13.028550080924987, -0.49478600662010486, 115.03100467139171)	4.95	33.4
(-13.087838020980456, -0.38895084349822806, 54.63478358724697)	3.12	39.4
(-12.90323618377807, -0.1807879784358768, 44.57359244225388)		181
(-11.908472332568651, 0.13857574465025735, 14.671184548681008)	1.69	29.0
(-11.908472332568651, 0.13857574465025735, 14.671184548681008)	1.86	25.3
(-11.697264413531036, 0.18541958034033001, 15.045750154428834)	1.58	31.7
(-11.33079958772545, 0.29254601634953215, 17.387294822344977)	2.97	21.0
(-10.969905342139528, 0.46578938874032616, 33.93219630822893)	1.48	26.8
(-10.75257845352233, 0.7538575312980056, 84.5388889648905)	6.04	38.9
(-10.701889083648727, 1.1281981896477733, 88.1972718927376)	1.43	32.4
(-10.770190504080336, 1.4921740615246586, 114.01030626433717)	8.29	32.6
(-11.058591052817418, 1.7844800998751484, 147.16416652071715)	3.51	34.3
(-11.387238777189117, 1.926694793039922, -170.81908826901312)	3.90	41.9
(-11.832514799012886, 1.8025623510040374, -166.35046641862687)	2.13	37.9
(-12.156140944149707, 1.720577399058663, -168.4781977464531)	4.08	34.2
(-12.485206142140813, 1.6607065772401128, -166.25791795586517)	148	36.4
(-12.844560279483213, 1.5054296494933794, -159.15610079380448)	3.93	39.9
(-13.230778077388305, 1.4660375245852473, -153.16334324776858)	9.32	34.7
(-13.561674060056358, 1.3014669835428867, -163.85632670911244)	35.1	38.9
(-13.91798899153123, 1.09535710267064, -159.4080517443104)	68.6	45.6
(-14.26997076030587, 0.894977101003013, -158.28184228593105)	57.8	34.5
(-14.674109170649047, 0.791177051915338, -157.28428620971275)		38.0
(-14.166934312703459, 0.9558820885422561, -156.44910122214245)	1.42	31.3
(-13.927381797290206, 1.052192195052795, -156.43021950786286)	1.37	36.6
(-13.653156506795579, 1.1701897219207327, -159.00124307315795)	1.41	38.9
(-13.386952102043598, 1.253465741588025, -155.22805374635044)	3.66	33.6
(-13.159463691050629, 1.4132559313542385, -151.72762872564556)	1.46	33.8
(-12.922760540780889, 1.53600694563261, -160.51700759570957)	1.26	36.0
(-12.688174488713567, 1.6233268537300916, -157.10961624612216)	2.88	22.7
(-12.444824500596058, 1.7704626080149968, -156.19223619437304)	2.82	42.3
(-12.206147295651196, 1.8578535063771344, -155.6485034026352)	1.29	32.6
(-11.921607589387486, 1.926763614765325, -169.499984277206)	2.88	37.3
(-11.662494246609077, 1.9936671166634508, -169.00952533980745)	2.95	36.7
(-11.373578946022153, 2.05218537516253, -176.95708250110863)	2.86	41.2
(-11.149579674976865, 2.059566008139223, 159.27839061752545)	4.27	35.7
(-11.016652983333593, 1.9562127369190776, 120.58008904456462)	3.21	29.3
(-11.101972763109764, 2.294403365554696, 72.7940537163696)	2.57	30.4
(-10.94952853126964, 2.595263017243079, 51.85121024340012)	2.59	37.9
(-10.776788096461612, 2.9202919789476365, 81.98640958658034)	3.43	30.3
(-10.7226574089343, 3.2252892938130873, 98.88051592258361)	2.74	35.5
(-10.711234273098711, 3.494659599187523, 101.18284046678272)	2.86	36.0
(-10.689144095180549, 3.851371025645531, 122.37353788038126)	1.33	32.3
(-10.860201141333514, 4.159478266650429, 121.96573545854342)	2.83	38.3
(-10.956950582192501, 4.295954956128469, 122.10668626065932)	1.35	28.2
(-10.977745600171136, 4.321960894892037, 159.9996103067351)	2.80	42.9
(-11.07931750673547, 4.348206690153646, 173.21843136383825)	1.91	15.4
(-11.147816722351113, 4.361290271278934, 177.4220775149285)	2.83	30.2
(-11.046669733502425, 4.372881187687478, -175.9584065206029)	2.88	16.3
(-11.043778022922242, 4.373122843909027, -159.94373839284293)	2.89	37.6
(-10.987862104176259, 4.399035033230422, -132.4959301525914)	3.33	22.3
(-11.003098691251488, 4.437055398712081, -102.81848887646291)	2.59	33.9
(-11.015917486089805, 4.416680633119817, -52.88715322112123)	3.15	28.1
